series_id,Cs,D28,m_aging,cover_mm,C_th,t_init_idx,t_init_year,onset_observed
82,4.5844044915476445,4.077296088059097e-12,0.3125346766239905,94.23226306982193,0.782424959440391,,,False
83,4.443788865435267,3.590047486223242e-12,0.29895561001770193,87.74594066146514,0.8476421032626564,,,False
84,4.385857906971834,3.9938430538296855e-12,0.3251635344429024,60.30631002372728,0.7606731111990059,,,False
85,5.349403129017938,4.2816333906997545e-12,0.3158240915094717,76.99589301031571,1.0262384674829186,,,False
86,5.15017734564798,3.3368293507223097e-12,0.2529265412084486,88.76688653122622,0.7476916456428487,,,False
87,4.225663690354076,3.6106835831052364e-12,0.2550313675233502,75.04753829067943,0.7675042731367986,,,False
88,4.466705480236652,4.765805662948127e-12,0.280564721370005,48.04619461067398,0.8256094510837148,276.0,21.15811088295688,True
89,4.189137465474405,3.725308264193827e-12,0.36635612135709766,50.501116572869364,0.756318895958933,,,False
90,3.9907109317494314,4.143698969068777e-12,0.36557618490528193,56.7465439133702,0.8289261070328587,,,False
91,4.533078992436383,3.5571548735141583e-12,0.36937378114055824,99.10154500686069,0.6382169664893605,,,False
92,5.7225504413741906,3.9781496965648055e-12,0.2968789320936473,68.57830695798054,0.7223848316740925,745.0,57.111567419575636,True
93,3.7792488366748387,3.6110485382242334e-12,0.21191196247653055,61.75961594463929,0.6618220542764547,429.0,32.8870636550308,True
94,5.2747772697355755,4.0383327609295885e-12,0.38888848343195986,74.52520056553247,0.819363230487073,,,False
95,4.95302865573378,4.446237499886147e-12,0.3898068443502873,93.28425829979068,0.6272565889013569,,,False
96,3.9034901592989053,4.0585508507246954e-12,0.2949194748381024,86.62163002773889,0.8619241547128897,,,False
97,3.611056828367855,4.11580956190602e-12,0.25125523769265334,78.67123531561008,0.7534194620517644,,,False
98,4.606885833196534,3.915371417159208e-12,0.286579629129286,94.61953969402731,0.6603170779734717,,,False
99,4.6359483148629,4.440597114239146e-12,0.29218662166911963,65.09776251996071,0.7578742075562708,685.0,52.511978097193705,True
100,4.125416208249937,3.4364282952311317e-12,0.4197298372558858,54.52435404430964,0.6842580393260055,,,False
101,4.322297738955606,3.8130179204770215e-12,0.32277801771837944,62.375241697296346,0.7337677339072046,,,False
102,4.409460525703829,4.654164413730038e-12,0.40934535266971983,92.48765316817514,0.6367389640171063,,,False
103,4.872626460893393,4.314200736072491e-12,0.39079040024387734,60.72226197766757,0.8030272393200543,,,False
104,5.129418673310653,4.312951755582529e-12,0.28436224915773184,85.7713904442135,0.7740823390066199,,,False
105,5.121655146591923,3.375767011025098e-12,0.295860099947805,79.41549772359642,0.7305613348051154,,,False
106,4.219145321648119,4.134243988277208e-12,0.25639716994547795,55.12014919694406,0.6924758080425508,354.0,27.137577002053387,True
107,4.468593464757503,4.104946496078083e-12,0.20628547862602392,55.36151432740256,0.7971362476013825,271.0,20.774811772758383,True
108,4.530715594780044,4.055985485831752e-12,0.3209445130940523,53.91022572776641,0.844259082607073,692.0,53.04859685147159,True
109,4.5096311263998805,4.1223717096278485e-12,0.34973521595422363,67.40882355579866,0.7537120415966099,,,False
110,4.788681649102745,3.860410347169956e-12,0.305961084188164,71.196989993794,0.7957980079233776,,,False
111,5.047272983389421,3.9270748901604735e-12,0.2758803446786812,94.4366894234008,0.724976160099507,,,False
112,5.427245224764753,4.385974006512774e-12,0.2917312910388225,54.38824774848836,0.6826300670450858,320.0,24.531143052703626,True
113,5.476627359348424,4.454303471908233e-12,0.35100185114576354,54.39349518752389,0.7343235939246608,566.0,43.389459274469544,True
114,4.96329894681605,3.7927280811917395e-12,0.33330370694818934,53.322000043650554,0.6561686938305032,566.0,43.389459274469544,True
115,5.018924209955421,4.373603537873919e-12,0.3566644497483462,93.04360634908213,0.7323788642841874,,,False
116,5.480965796942875,3.645795791704948e-12,0.33214901280635933,66.34685897732822,0.6462607232466151,,,False
117,3.955553962329983,4.210562559438044e-12,0.2159056712928114,76.7581223114824,0.6651079400095415,608.0,46.60917180013689,True
118,4.56435942463622,4.2339597230314355e-12,0.34558087029065676,104.74642201080823,0.732828467789976,,,False
119,5.141189225262968,3.416711544786947e-12,0.2693780330690133,105.75331483204366,0.6255584404396439,,,False
120,4.4735512507927835,4.236796288738863e-12,0.35066182446608907,43.481496568488865,0.9017031143813645,500.0,38.32991101984942,True
121,4.920478751413636,3.9417493636579505e-12,0.29653293997237484,94.07271511453565,0.8078498599478738,,,False
122,4.084882677870926,3.13817314821204e-12,0.3445260419906438,87.80347684738894,0.7790349502668358,,,False
123,3.738393156593126,4.082259070811896e-12,0.3585600808938959,67.93780462167736,0.6087660943760597,,,False
124,4.871757190841847,3.754952801697584e-12,0.2963314015985692,61.03718860198758,0.7410321985738895,696.0,53.35523613963039,True
125,5.440874369634122,4.3281306386932525e-12,0.40054364036282764,61.39805666910288,0.8300512918195179,,,False
126,5.031142996734606,4.364165913228535e-12,0.2520030712939305,109.7431111188978,0.7550383872129239,,,False
127,4.343042801817965,4.279415190586073e-12,0.30450181393132275,68.92644457057239,0.8624729419601799,,,False
128,4.0152284391469895,4.449709238941116e-12,0.2566808276517565,74.93119407879183,0.685911779559505,765.0,58.64476386036961,True
129,4.413624953984978,3.5975317267380386e-12,0.362544960976273,76.61404079162364,0.8047243734095688,,,False
130,4.449535607245458,3.9865359509058235e-12,0.3632667145612698,90.8172649952244,0.7532081448384276,,,False
131,5.076432854513175,4.0703624461019035e-12,0.25276866269859655,54.8445536254267,0.7261205003285783,302.0,23.15126625598905,True
132,5.222879175857194,4.341881900524787e-12,0.2517102346516576,40.26002662984998,0.7232465978224839,117.0,8.969199178644764,True
133,4.7308654111996455,3.772085477605734e-12,0.26212215473519873,102.83791988347818,0.824124774700361,,,False
134,4.196488457120718,3.86843278835478e-12,0.29577026102068255,47.27797345024515,0.8060362025454313,419.0,32.120465434633815,True
135,4.053697515004041,3.967495691282098e-12,0.2619935152076218,50.349008569141645,0.7061235682580116,326.0,24.99110198494182,True
136,5.133583652881329,3.811685654946547e-12,0.39890492634211244,59.720541840598884,0.8136321918444755,,,False
137,4.759556522527683,4.402386364171991e-12,0.3215873009926027,81.72531760484668,0.6336103919403709,,,False
138,5.342982549140445,4.1541202498283635e-12,0.342623031061168,64.83891923429516,0.8150390947706095,,,False
139,5.583782220356508,4.813007833127876e-12,0.3456727400391489,44.82433853482662,0.6846736714732155,242.0,18.55167693360712,True
140,5.383441505716559,3.84441041493607e-12,0.32080905819618205,99.38387200547837,0.6250740800349406,,,False
141,4.223160480286608,3.757622132806575e-12,0.2996900134640558,104.73377981046751,0.7408095981154545,,,False
142,4.9043225939308766,3.4182668283060425e-12,0.23188909553318776,80.39457887294141,0.636478790108688,,,False
143,4.3689791011694155,3.7757754805021725e-12,0.26787417312639583,59.398128332570955,0.7795185405331436,589.0,45.152635181382614,True
144,4.186057250939123,3.821457785900151e-12,0.3224486173424157,51.67224935680133,0.7848905938250426,682.0,52.28199863107461,True
145,4.29316023747172,3.918107283275757e-12,0.2621916287511281,61.82519090449851,0.7295591895646533,564.0,43.23613963039014,True
146,4.252623582617818,3.800465732859005e-12,0.2382574401984902,98.24398093004874,0.6331752525851404,,,False
147,5.085414386193756,3.9530125444992414e-12,0.3195295927046916,59.48736421683604,0.658856446573658,633.0,48.525667351129364,True
148,4.2638646048122695,3.478769406120142e-12,0.24390971126073696,40.19894582872668,0.7135002417195342,179.0,13.722108145106091,True
149,5.440775134287531,4.0294829961206465e-12,0.30056561358695627,63.29665179894941,0.8856656085890889,781.0,59.87132101300479,True
150,4.5908330452142225,3.4348349635448093e-12,0.3631758586347379,108.90096914477347,0.8647567974643119,,,False
151,5.203928425727202,3.527827835322735e-12,0.3156704651269294,90.41223752238488,0.817994401304155,,,False
152,4.064589461965409,4.56046959063545e-12,0.39655744576412805,71.14003168854825,0.7004135626003878,,,False
153,5.687183367948267,4.340276019258595e-12,0.29532218467191307,95.48220052526321,0.85097595338005,,,False
154,3.7662055949419826,3.966229697178557e-12,0.336481353354505,57.891190435578764,0.9323900048792901,,,False
155,4.67750708315367,3.580160176221749e-12,0.3310294227943174,80.54372920070534,0.6734743456810166,,,False
156,3.8676572255278896,3.5753521915956315e-12,0.2348855284858829,95.36533188895139,0.7574561077097822,,,False
157,4.335761487172749,2.8909664583477897e-12,0.31863362686758107,57.26503745648864,0.8066309969427553,,,False
158,4.102118036074157,4.408906326863429e-12,0.2305097691670695,42.026468866958844,0.6799281165674169,134.0,10.272416153319645,True
159,4.425745344774393,4.206282857006199e-12,0.25536167479115474,44.81982884370617,0.9230455062101948,258.0,19.7782340862423,True
160,4.178187032646512,4.6354615431759944e-12,0.20690165046779524,79.3871535426866,0.8157913235388987,638.0,48.90896646132786,True
161,4.115015929391238,4.220946824890843e-12,0.29545877154574135,98.09140971373589,0.6161684281498715,,,False
162,4.884852474220702,4.316722151030144e-12,0.27687200975383547,107.65972137710544,0.7042279828334116,,,False
163,4.052767160272204,4.1866331033173486e-12,0.2901358796414609,108.97529773007473,0.7249906177853396,,,False
164,4.247552773585768,3.354188506361671e-12,0.33893277697285995,66.80731006267989,0.7045449741434314,,,False
165,4.752471084535147,3.922594051249909e-12,0.2936637360405451,51.48977745874225,0.6629279022554808,361.0,27.67419575633128,True
166,4.431004489524198,3.412847909852541e-12,0.36761124005117807,63.24022528411972,0.7457680994971067,,,False
167,4.273334892156322,4.687041574343346e-12,0.24064783643204712,100.8299242749307,0.7380140088116309,,,False
168,5.060670212578899,3.46759375175414e-12,0.32264771884240345,59.305696803889916,0.8503929748185141,,,False
169,4.299982055450818,3.685024449085534e-12,0.24248530385736206,72.93384121972058,0.6779948103886196,743.0,56.95824777549623,True
170,4.0032411076373435,4.3401424910481225e-12,0.2604308887410133,54.158408396455386,0.8323425523656496,427.0,32.733744010951405,True
171,4.818513541629058,3.6613849912444895e-12,0.28667683188320564,46.61976805200571,0.7110341349760895,301.0,23.07460643394935,True
172,4.869220397089602,4.607171823719403e-12,0.2582501434091694,78.70735715733915,0.7121495464581347,721.0,55.27173169062286,True
173,4.561321958298953,3.737554901862419e-12,0.3467312577291048,100.75145398317741,0.6222460726946609,,,False
174,4.611379868215642,3.3964164462045284e-12,0.2798443550659521,85.18308598184424,0.8310623486848677,,,False
175,5.08149234378744,3.7961849602693816e-12,0.219337564961445,68.94253863791968,0.6246180131320811,407.0,31.200547570157426,True
176,4.314596109112086,4.024069792277022e-12,0.33129737430637396,68.452885270557,0.7065887236496335,,,False
177,4.388675696989001,3.920132270443509e-12,0.2908750997010149,96.46849422177601,0.7846079150684878,,,False
178,4.7004964523514,4.391152136560732e-12,0.34957711411696557,100.64628970635847,0.8863629340635238,,,False
179,4.305793200744951,4.013291111274874e-12,0.2921990781706296,100.6342436292222,0.8011881708259566,,,False
180,5.04884104873526,3.681273895064059e-12,0.28794996398780925,81.53011128548441,0.780779702562414,,,False
181,4.579118175054237,3.798977988438634e-12,0.35228499538866276,52.21292233304547,0.766629314874947,,,False
182,3.9043749067534264,3.713385333055863e-12,0.24000209216415774,63.14758416433985,0.8186651088499218,674.0,51.66872005475702,True
183,4.395304660906312,3.994209375078234e-12,0.25701756257067326,49.57747212842433,0.8749088133661909,347.0,26.600958247775495,True
184,4.056255644069168,3.862245753659195e-12,0.3583019647555587,79.5029140650305,0.8310189768294991,,,False
185,3.9123345539350702,3.1319644159402757e-12,0.3437880796638828,98.34745768884943,0.8744102940001207,,,False
186,3.701542239214822,4.0264270893488656e-12,0.26350477186151255,89.35110484707673,0.6987372014091683,,,False
187,4.637182511886017,3.451563215229441e-12,0.285476832108418,49.37357640822796,0.9559004501818013,555.0,42.54620123203286,True
