series_id,Cs,cover_m,cover_mm,D28,m_aging,C_th,t_init_idx,t_init_year,onset_observed
26,0.5577966967264056,0.058438329467530345,58.438329467530345,3.6155693123505345e-12,0.4237238940877411,0.5020020284969149,,,False
27,0.31202334404075194,0.05777703052601435,57.77703052601435,8.649181895988206e-12,0.21363843157747797,0.3591295373612565,,,False
28,1.1671176252380964,0.09065212275691029,90.65212275691029,7.739863803721905e-12,0.27727608329939935,0.23022409481325037,777.0,59.564681724846,True
29,0.6004354025106465,0.050506780061807914,50.506780061807916,7.41114380484961e-12,0.25237784306151095,0.18234195555038019,242.0,18.55167693360712,True
30,0.7797105946960438,0.04629512442170244,46.29512442170244,3.949619514740277e-12,0.23005153614474724,0.3156955126883326,647.0,49.59890485968515,True
31,0.4477446185606071,0.07264007464658906,72.64007464658906,5.881960498234689e-12,0.23679093062034018,0.420706593284911,,,False
32,1.4609714677607162,0.0706975738492378,70.6975738492378,6.9701710597834114e-12,0.3469213986270665,0.40485289081414755,,,False
33,0.46541575336650154,0.0630996630171387,63.099663017138695,3.5800131070035456e-12,0.3391557497978315,0.18753503488043788,,,False
34,0.9392005443933636,0.08136765193159917,81.36765193159917,5.3748878466381586e-12,0.27300721555831253,0.11796780976159277,551.0,42.23956194387406,True
35,0.9585734808531706,0.06735196364175788,67.35196364175789,7.269955126533197e-12,0.3267433773131343,0.21876950798444106,661.0,50.672142368240934,True
36,1.3386355573668187,0.10482668276121104,104.82668276121105,3.92605865861794e-12,0.25036891673937645,0.2180005836035172,,,False
37,1.5783880265946302,0.07166582716195172,71.66582716195171,8.013619062046529e-12,0.33731970760525026,0.268158196932456,588.0,45.07597535934291,True
38,1.0981527785805698,0.0582608915707099,58.2608915707099,5.9355309660887546e-12,0.3931196207430905,0.3114360468409621,,,False
39,1.5530300861885946,0.04779273024305668,47.792730243056674,8.879826731459407e-12,0.27379280621916263,0.18159686550030743,65.0,4.982888432580425,True
40,1.0143351132559775,0.07244837678160995,72.44837678160995,4.175160093398085e-12,0.3595718834621997,0.2596068950738606,,,False
41,1.6091342587246333,0.06343760896138262,63.43760896138262,4.888939847471573e-12,0.36228365514491945,0.380807924157902,,,False
42,1.2038786405693291,0.09492187639680498,94.92187639680498,7.569363754755029e-12,0.21057908066739509,0.34111516718761103,,,False
43,0.7078295988690382,0.0434388997480811,43.4388997480811,8.976981912225323e-12,0.22066292915680577,0.14553385266753718,65.0,4.982888432580425,True
44,1.037979961682521,0.06937965413332106,69.37965413332107,5.9698666861520324e-12,0.32721347230765363,0.4004946607177362,,,False
45,0.24782250211281714,0.06941461465044628,69.41461465044628,8.687450968079485e-12,0.3846933844822515,0.27121336822050235,,,False
46,0.25544139408446553,0.078555116750086,78.555116750086,7.805005726120935e-12,0.38657417768547075,0.43244323627876524,,,False
